Type,ID,SOURCE_KEY,NAME,URL,SOURCE_TYPE,ENDPOINT,STATUS
CATEGORY,153,N/A,NEXO,N/A,122,NULL,ACTIVE
CATEGORY,90,N/A,NOT,N/A,122,NULL,ACTIVE
CATEGORY,91,N/A,OKB,N/A,122,NULL,ACTIVE
CATEGORY,169,N/A,OM,N/A,122,NULL,ACTIVE
CATEGORY,108,N/A,ONDO,N/A,122,NULL,ACTIVE
CATEGORY,92,N/A,OP,N/A,122,NULL,ACTIVE
CATEGORY,138,N/A,ORDI,N/A,122,NULL,ACTIVE
CATEGORY,63,N/A,OTHER,N/A,122,NULL,ACTIVE
CATEGORY,183,N/A,PAXG,N/A,122,NULL,ACTIVE
CATEGORY,130,N/A,PENDLE,N/A,122,NULL,ACTIVE
CATEGORY,184,N/A,PEOPLE,N/A,122,NULL,ACTIVE
CATEGORY,93,N/A,PEPE,N/A,122,NULL,ACTIVE
CATEGORY,120,N/A,PYTH,N/A,122,NULL,ACTIVE
CATEGORY,191,N/A,PYUSD,N/A,122,NULL,ACTIVE
CATEGORY,128,N/A,QNT,N/A,122,NULL,ACTIVE
CATEGORY,65,N/A,RAI,N/A,122,NULL,ACTIVE
CATEGORY,197,N/A,RAY,N/A,122,NULL,ACTIVE
CATEGORY,41,N/A,REGULATION,N/A,122,NULL,ACTIVE
CATEGORY,42,N/A,REN,N/A,122,NULL,ACTIVE
CATEGORY,64,N/A,RESEARCH,N/A,122,NULL,ACTIVE
CATEGORY,94,N/A,RNDR,N/A,122,NULL,ACTIVE
CATEGORY,142,N/A,RON,N/A,122,NULL,ACTIVE
CATEGORY,155,N/A,ROSE,N/A,122,NULL,ACTIVE
CATEGORY,181,N/A,RPL,N/A,122,NULL,ACTIVE
CATEGORY,115,N/A,RUNE,N/A,122,NULL,ACTIVE
CATEGORY,162,N/A,SAFE,N/A,122,NULL,ACTIVE
CATEGORY,43,N/A,SAND,N/A,122,NULL,ACTIVE
CATEGORY,121,N/A,SEI,N/A,122,NULL,ACTIVE
CATEGORY,44,N/A,SHIB,N/A,122,NULL,ACTIVE
CATEGORY,45,N/A,SNX,N/A,122,NULL,ACTIVE
CATEGORY,46,N/A,SOL,N/A,122,NULL,ACTIVE
CATEGORY,47,N/A,SPONSORED,N/A,122,NULL,ACTIVE
CATEGORY,198,N/A,SSV,N/A,122,NULL,ACTIVE
CATEGORY,126,N/A,STRK,N/A,122,NULL,ACTIVE
CATEGORY,95,N/A,STX,N/A,122,NULL,ACTIVE
CATEGORY,96,N/A,SUI,N/A,122,NULL,ACTIVE
CATEGORY,48,N/A,SUSHI,N/A,122,NULL,ACTIVE
CATEGORY,49,N/A,TECHNOLOGY,N/A,122,NULL,ACTIVE
CATEGORY,176,N/A,TFUEL,N/A,122,NULL,ACTIVE
CATEGORY,111,N/A,THETA,N/A,122,NULL,ACTIVE
CATEGORY,118,N/A,TIA,N/A,122,NULL,ACTIVE
CATEGORY,207,N/A,TOKEN LISTING AND DELISTING,N/A,122,NULL,ACTIVE
CATEGORY,205,N/A,TOKEN SALE,N/A,122,NULL,ACTIVE
CATEGORY,98,N/A,TON,N/A,122,NULL,ACTIVE
CATEGORY,50,N/A,TRADING,N/A,122,NULL,ACTIVE
CATEGORY,51,N/A,TRX,N/A,122,NULL,ACTIVE
CATEGORY,173,N/A,TUSD,N/A,122,NULL,ACTIVE
CATEGORY,190,N/A,TWT,N/A,122,NULL,ACTIVE
CATEGORY,52,N/A,UMA,N/A,122,NULL,ACTIVE
CATEGORY,53,N/A,UNI,N/A,122,NULL,ACTIVE
CATEGORY,100,N/A,USDC,N/A,122,NULL,ACTIVE
CATEGORY,152,N/A,USDD,N/A,122,NULL,ACTIVE
CATEGORY,54,N/A,USDT,N/A,122,NULL,ACTIVE
CATEGORY,101,N/A,VET,N/A,122,NULL,ACTIVE
CATEGORY,55,N/A,WALLET,N/A,122,NULL,ACTIVE
CATEGORY,77,N/A,WIF,N/A,122,NULL,ACTIVE
CATEGORY,145,N/A,WLD,N/A,122,NULL,ACTIVE
CATEGORY,194,N/A,WOO,N/A,122,NULL,ACTIVE
CATEGORY,164,N/A,XAUT,N/A,122,NULL,ACTIVE
CATEGORY,178,N/A,XDC,N/A,122,NULL,ACTIVE
CATEGORY,159,N/A,XEC,N/A,122,NULL,ACTIVE
CATEGORY,56,N/A,XLM,N/A,122,NULL,ACTIVE
CATEGORY,57,N/A,XMR,N/A,122,NULL,ACTIVE
CATEGORY,58,N/A,XRP,N/A,122,NULL,ACTIVE
CATEGORY,59,N/A,XTZ,N/A,122,NULL,ACTIVE
CATEGORY,60,N/A,YFI,N/A,122,NULL,ACTIVE
CATEGORY,61,N/A,ZEC,N/A,122,NULL,ACTIVE
CATEGORY,143,N/A,ZK,N/A,122,NULL,ACTIVE
CATEGORY,62,N/A,ZRX,N/A,122,NULL,ACTIVE
